Data as of,Start Week,End Week,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths,Number of Mentions,Flag
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Cerebrovascular diseases,I60-I69,All Ages,15711,16117,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",0-24,63,75,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",25-34,168,192,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",35-44,365,418,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",45-54,942,1032,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",55-64,2220,2404,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",65-74,3899,4264,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",75-84,4872,5291,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",85+,5589,6047,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Circulatory diseases,Other diseases of the circulatory system,"I00-I09, I26-I43, I51, I52, I70-I99",All Ages,18118,19723,
1/10/2021,1/4/2020,1/9/2021,US,Sepsis,Sepsis,A40-A41,0-24,60,61,
1/10/2021,1/4/2020,1/9/2021,US,Sepsis,Sepsis,A40-A41,25-34,242,242,
1/10/2021,1/4/2020,1/9/2021,US,Sepsis,Sepsis,A40-A41,35-44,655,655,
1/10/2021,1/4/2020,1/9/2021,US,Sepsis,Sepsis,A40-A41,45-54,2042,2043,
1/10/2021,1/4/2020,1/9/2021,US,Sepsis,Sepsis,A40-A41,55-64,4871,4874,
1/10/2021,1/4/2020,1/9/2021,US,Sepsis,Sepsis,A40-A41,65-74,8258,8261,
1/10/2021,1/4/2020,1/9/2021,US,Sepsis,Sepsis,A40-A41,75-84,7849,7852,
1/10/2021,1/4/2020,1/9/2021,US,Sepsis,Sepsis,A40-A41,85+,5528,5529,
1/10/2021,1/4/2020,1/9/2021,US,Sepsis,Sepsis,A40-A41,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Sepsis,Sepsis,A40-A41,All Ages,29505,29517,
1/10/2021,1/4/2020,1/9/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,0-24,36,42,
1/10/2021,1/4/2020,1/9/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,25-34,54,62,
1/10/2021,1/4/2020,1/9/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,35-44,168,181,
1/10/2021,1/4/2020,1/9/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,45-54,459,538,
1/10/2021,1/4/2020,1/9/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,55-64,1778,2036,
1/10/2021,1/4/2020,1/9/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,65-74,3636,4072,
1/10/2021,1/4/2020,1/9/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,75-84,4255,4795,
1/10/2021,1/4/2020,1/9/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,85+,3551,3912,
1/10/2021,1/4/2020,1/9/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Malignant neoplasms,Malignant neoplasms,C00-C97,All Ages,13937,15638,
1/10/2021,1/4/2020,1/9/2021,US,Diabetes,Diabetes,E10-E14,0-24,69,69,
1/10/2021,1/4/2020,1/9/2021,US,Diabetes,Diabetes,E10-E14,25-34,289,290,
1/10/2021,1/4/2020,1/9/2021,US,Diabetes,Diabetes,E10-E14,35-44,1033,1040,
1/10/2021,1/4/2020,1/9/2021,US,Diabetes,Diabetes,E10-E14,45-54,3173,3191,
1/10/2021,1/4/2020,1/9/2021,US,Diabetes,Diabetes,E10-E14,55-64,8010,8060,
1/10/2021,1/4/2020,1/9/2021,US,Diabetes,Diabetes,E10-E14,65-74,13720,13791,
1/10/2021,1/4/2020,1/9/2021,US,Diabetes,Diabetes,E10-E14,75-84,14188,14247,
1/10/2021,1/4/2020,1/9/2021,US,Diabetes,Diabetes,E10-E14,85+,10500,10534,
1/10/2021,1/4/2020,1/9/2021,US,Diabetes,Diabetes,E10-E14,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Diabetes,Diabetes,E10-E14,All Ages,50982,51222,
1/10/2021,1/4/2020,1/9/2021,US,Obesity,Obesity,E65-E68,0-24,135,135,
1/10/2021,1/4/2020,1/9/2021,US,Obesity,Obesity,E65-E68,25-34,497,498,
1/10/2021,1/4/2020,1/9/2021,US,Obesity,Obesity,E65-E68,35-44,1108,1113,
1/10/2021,1/4/2020,1/9/2021,US,Obesity,Obesity,E65-E68,45-54,1984,1986,
1/10/2021,1/4/2020,1/9/2021,US,Obesity,Obesity,E65-E68,55-64,2969,2977,
1/10/2021,1/4/2020,1/9/2021,US,Obesity,Obesity,E65-E68,65-74,3135,3146,
1/10/2021,1/4/2020,1/9/2021,US,Obesity,Obesity,E65-E68,75-84,1711,1714,
1/10/2021,1/4/2020,1/9/2021,US,Obesity,Obesity,E65-E68,85+,468,468,
1/10/2021,1/4/2020,1/9/2021,US,Obesity,Obesity,E65-E68,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Obesity,Obesity,E65-E68,All Ages,12007,12037,
1/10/2021,1/4/2020,1/9/2021,US,Alzheimer disease,Alzheimer disease,G30,0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Alzheimer disease,Alzheimer disease,G30,25-34,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Alzheimer disease,Alzheimer disease,G30,35-44,2,2,
1/10/2021,1/4/2020,1/9/2021,US,Alzheimer disease,Alzheimer disease,G30,45-54,7,7,
1/10/2021,1/4/2020,1/9/2021,US,Alzheimer disease,Alzheimer disease,G30,55-64,99,99,
1/10/2021,1/4/2020,1/9/2021,US,Alzheimer disease,Alzheimer disease,G30,65-74,823,824,
1/10/2021,1/4/2020,1/9/2021,US,Alzheimer disease,Alzheimer disease,G30,75-84,3604,3607,
1/10/2021,1/4/2020,1/9/2021,US,Alzheimer disease,Alzheimer disease,G30,85+,8072,8089,
1/10/2021,1/4/2020,1/9/2021,US,Alzheimer disease,Alzheimer disease,G30,Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Alzheimer disease,Alzheimer disease,G30,All Ages,12607,12628,
1/10/2021,1/4/2020,1/9/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",0-24,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",25-34,1,1,
1/10/2021,1/4/2020,1/9/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",35-44,3,3,
1/10/2021,1/4/2020,1/9/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",45-54,38,38,
1/10/2021,1/4/2020,1/9/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",55-64,481,481,
1/10/2021,1/4/2020,1/9/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",65-74,3122,3128,
1/10/2021,1/4/2020,1/9/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",75-84,10490,10503,
1/10/2021,1/4/2020,1/9/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",85+,21253,21274,
1/10/2021,1/4/2020,1/9/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,Vascular and unspecified dementia,Vascular and unspecified dementia,"F01, F03",All Ages,35388,35428,
1/10/2021,1/4/2020,1/9/2021,US,Renal failure,Renal failure,N17-N19,0-24,34,35,
1/10/2021,1/4/2020,1/9/2021,US,Renal failure,Renal failure,N17-N19,25-34,192,202,
1/10/2021,1/4/2020,1/9/2021,US,Renal failure,Renal failure,N17-N19,35-44,545,557,
1/10/2021,1/4/2020,1/9/2021,US,Renal failure,Renal failure,N17-N19,45-54,1614,1656,
1/10/2021,1/4/2020,1/9/2021,US,Renal failure,Renal failure,N17-N19,55-64,4007,4134,
1/10/2021,1/4/2020,1/9/2021,US,Renal failure,Renal failure,N17-N19,65-74,7099,7367,
1/10/2021,1/4/2020,1/9/2021,US,Renal failure,Renal failure,N17-N19,75-84,7758,8126,
1/10/2021,1/4/2020,1/9/2021,US,Renal failure,Renal failure,N17-N19,85+,6848,7167,
1/10/2021,1/4/2020,1/9/2021,US,Renal failure,Renal failure,N17-N19,Not stated,1,2,
1/10/2021,1/4/2020,1/9/2021,US,Renal failure,Renal failure,N17-N19,All Ages,28098,29246,
1/10/2021,1/4/2020,1/9/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0-24,42,113,
1/10/2021,1/4/2020,1/9/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",25-34,111,282,
1/10/2021,1/4/2020,1/9/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",35-44,161,393,
1/10/2021,1/4/2020,1/9/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",45-54,295,642,
1/10/2021,1/4/2020,1/9/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",55-64,660,1333,
1/10/2021,1/4/2020,1/9/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",65-74,1133,2223,
1/10/2021,1/4/2020,1/9/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",75-84,1460,2883,
1/10/2021,1/4/2020,1/9/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",85+,1885,3912,
1/10/2021,1/4/2020,1/9/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",Not stated,0,0,
1/10/2021,1/4/2020,1/9/2021,US,"Intentional and unintentional injury, poisoning, and other adverse events","Intentional and unintentional injury, poisoning, and other adverse events","S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",All Ages,5747,11781,
1/10/2021,1/4/2020,1/9/2021,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0-24,289,508,
1/10/2021,1/4/2020,1/9/2021,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",25-34,849,1359,
1/10/2021,1/4/2020,1/9/2021,US,All other conditions and causes (residual),All other conditions and causes (residual),"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",35-44,1954,3080,
