S.no,Country,TotalCases,TotalDeaths,Total Recovered,Active cases,Totalcases/1M,TotalDeath/1M,iso_alpha
179,Turks and Caicos,"1,030",6,847,177,"26,412",154,TCA
180,Taiwan,843,7,741,95,35,0.3,TWN
181,Papua New Guinea,834,9,755,70,92,1,PNG
182,Bhutan,834,1,533,300,"1,074",1,BTN
183,Diamond Princess,712,13,699,0,,, 
184,Bermuda,664,12,566,86,"10,683",193,BMU
185,Faeroe Islands,647,1,623,23,"13,214",20, 
186,Seychelles,627,1,360,266,"6,354",10,SYC
187,Mauritius,547,10,516,21,430,8,MUS
188,Saint Lucia,543,6,321,216,"2,950",33,LCA
189,Tanzania,509,21,183,305,8,0.3,TZA
190,Cambodia,426, ,381,45,25,,KHM
191,Isle of Man,417,25,354,38,"4,890",293,IMN
192,Cayman Islands,368,2,326,40,"5,564",30,CYM
193,St. Vincent Grenadines,340, ,106,234,"3,059",, 
194,St. Barth,251,1,172,78,"25,371",101, 
195,Caribbean Netherlands,249,3,181,65,"9,448",114, 
196,Antigua and Barbuda,184,6,156,22,"1,871",61,ATG
197,Brunei ,174,3,168,3,396,7,BRN
198,Grenada,132,1,123,8,"1,170",9,GRD
199,British Virgin Islands,114,1,95,18,"3,757",33,VGB
200,Dominica,109, ,101,8,"1,512",,DMA
201,Fiji,53,2,47,4,59,2,FJI
202,Timor-Leste,51, ,45,6,38,,TLS
203,Macao,46, ,46,0,70,,MAC
204,Laos,41, ,41,0,6,, 
205,New Caledonia,40, ,40,0,139,,NCL
206,Saint Kitts and Nevis,34, ,31,3,637,,KNA
207,Falkland Islands,32, ,27,5,"9,055",,FLK
208,Greenland,30, ,29,1,528,,GRL
209,Vatican City,27, ,15,12,"33,666",,VAT
210,Solomon Islands,17, ,10,7,24,,SLB
211,Saint Pierre Miquelon,16, ,16,0,"2,769",, 
212,Anguilla,15, ,13,2,995,,AIA
213,Montserrat,13,1,12,0,"2,603",200,MSR
214,Western Sahara,10,1,8,1,17,2,ESH
215,MS Zaandam,9,2,7,0,,, 
216,Marshall Islands,4, ,4,0,67,,MHL
217,Wallis and Futuna,4, ,1,3,359,,WLF
218,Samoa,2, ,2,0,10,,WSM
219,Micronesia,1, ,,1,9,,FSM
220,Vanuatu,1, ,1,0,3,,VUT
221,China,"87,988","4,635","82,352","1,001",61,3,CHN
